confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.03	40.3973503112793	0.0856898054480552	0.03	40.308372497558594	0.0853606462478637	0.03	40.2640266418457	0.0852878466248512	0.03	40.0	0.0851426124572753	0.03	39.43965530395508	0.0850340127944946	0.03	37.92745971679688	0.0849617645144462	0.03	37.044532775878906	0.0848536267876625	0.03	36.74698638916016	0.0846023708581924	0.03	36.09467315673828	0.0837520956993103
0.031	40.61809921264648	0.0856898054480552	0.031	40.52863311767578	0.0853606462478637	0.031	40.48404693603516	0.0852878466248512	0.031	40.21857833862305	0.0851426124572753	0.031	39.65517425537109	0.0850340127944946	0.031	38.13471603393555	0.0849617645144462	0.031	37.24696350097656	0.0848536267876625	0.031	36.94778823852539	0.0846023708581924	0.031	36.29191207885742	0.0837520956993103
0.032	40.728477478027344	0.0856898054480552	0.032	40.63876724243164	0.0853606462478637	0.032	40.59405899047852	0.0852878466248512	0.032	40.3278694152832	0.0851426124572753	0.032	39.76293182373047	0.0850340127944946	0.032	38.23834228515625	0.0849617645144462	0.032	37.34817886352539	0.0848536267876625	0.032	37.04819488525391	0.0846023708581924	0.032	36.39052963256836	0.0837520956993103
0.033	40.9492301940918	0.0856898054480552	0.033	40.859031677246094	0.0853606462478637	0.033	40.81407928466797	0.0852878466248512	0.033	40.54644775390625	0.0851426124572753	0.033	39.97844696044922	0.0850340127944946	0.033	38.445594787597656	0.0849617645144462	0.033	37.55060577392578	0.0848536267876625	0.033	37.24899673461914	0.0846023708581924	0.033	36.587772369384766	0.0837520956993103
0.034	41.28035354614258	0.0856898054480552	0.034	41.18942642211914	0.0853606462478637	0.034	41.14411544799805	0.0852878466248512	0.034	40.87431716918945	0.0851426124572753	0.034	40.30172348022461	0.0850340127944946	0.034	38.75647735595703	0.0849617645144462	0.034	37.854251861572266	0.0848536267876625	0.034	37.550201416015625	0.0846023708581924	0.034	36.88362884521485	0.0837520956993103
0.035	41.61147689819336	0.0856898054480552	0.035	41.51982498168945	0.0853606462478637	0.035	41.47414779663086	0.0852878466248512	0.035	41.20218276977539	0.0851426124572753	0.035	40.625	0.0850340127944946	0.035	39.06735610961914	0.0849617645144462	0.035	38.15789413452149	0.0848536267876625	0.035	37.85140609741211	0.0846023708581924	0.035	37.17948913574219	0.0837520956993103
0.036	41.72185516357422	0.0856898054480552	0.036	41.62995529174805	0.0853606462478637	0.036	41.58415985107422	0.0852878466248512	0.036	41.31147384643555	0.0851426124572753	0.036	40.732757568359375	0.0850340127944946	0.036	39.17098236083984	0.0849617645144462	0.036	38.25910949707031	0.0848536267876625	0.036	37.951805114746094	0.0846023708581924	0.036	37.278106689453125	0.0837520956993103
0.037	42.163352966308594	0.0856898054480552	0.037	42.07048416137695	0.0853606462478637	0.037	42.024200439453125	0.0852878466248512	0.037	41.748634338378906	0.0851426124572753	0.037	41.16379165649414	0.0850340127944946	0.037	39.58549118041992	0.0849617645144462	0.037	38.66396713256836	0.0848536267876625	0.037	38.35341262817383	0.0846023708581924	0.037	37.672584533691406	0.0837520956993103
0.038	42.38410568237305	0.0856898054480552	0.038	42.290748596191406	0.0853606462478637	0.038	42.24422454833984	0.0852878466248512	0.038	41.96721267700195	0.0851426124572753	0.038	41.37931060791016	0.0850340127944946	0.038	39.792747497558594	0.0849617645144462	0.038	38.866397857666016	0.0848536267876625	0.038	38.55421447753906	0.0846023708581924	0.038	37.86982345581055	0.0837520956993103
0.039	42.71522903442383	0.0856898054480552	0.039	42.62114334106445	0.0853606462478637	0.039	42.574256896972656	0.0852878466248512	0.039	42.29508209228516	0.0851426124572753	0.039	41.70258712768555	0.0850340127944946	0.039	40.1036262512207	0.0849617645144462	0.039	39.170040130615234	0.0848536267876625	0.039	38.85542297363281	0.0846023708581924	0.039	38.16567993164063	0.0837520956993103
0.04	42.82560729980469	0.0856898054480552	0.04	42.73127746582031	0.0853606462478637	0.04	42.684268951416016	0.0852878466248512	0.04	42.40437316894531	0.0851426124572753	0.04	41.81034469604492	0.0850340127944946	0.04	40.20725631713867	0.0849617645144462	0.04	39.27125549316406	0.0848536267876625	0.04	38.9558219909668	0.0846023708581924	0.04	38.26429748535156	0.0837520956993103
0.041	42.82560729980469	0.0856898054480552	0.041	42.73127746582031	0.0853606462478637	0.041	42.684268951416016	0.0852878466248512	0.041	42.40437316894531	0.0851426124572753	0.041	41.81034469604492	0.0850340127944946	0.041	40.20725631713867	0.0849617645144462	0.041	39.27125549316406	0.0848536267876625	0.041	38.9558219909668	0.0846023708581924	0.041	38.26429748535156	0.0837520956993103
0.042	42.93598175048828	0.0856898054480552	0.042	42.84141159057617	0.0853606462478637	0.042	42.79427719116211	0.0852878466248512	0.042	42.51366424560547	0.0851426124572753	0.042	41.91810607910156	0.0850340127944946	0.042	40.31087875366211	0.0849617645144462	0.042	39.37247085571289	0.0848536267876625	0.042	39.05622482299805	0.0846023708581924	0.042	38.362918853759766	0.0837520956993103
0.043	42.93598175048828	0.0856898054480552	0.043	42.84141159057617	0.0853606462478637	0.043	42.79427719116211	0.0852878466248512	0.043	42.51366424560547	0.0851426124572753	0.043	41.91810607910156	0.0850340127944946	0.043	40.31087875366211	0.0849617645144462	0.043	39.37247085571289	0.0848536267876625	0.043	39.05622482299805	0.0846023708581924	0.043	38.362918853759766	0.0837520956993103
0.044	42.93598175048828	0.0856898054480552	0.044	42.84141159057617	0.0853606462478637	0.044	42.79427719116211	0.0852878466248512	0.044	42.51366424560547	0.0851426124572753	0.044	41.91810607910156	0.0850340127944946	0.044	40.31087875366211	0.0849617645144462	0.044	39.37247085571289	0.0848536267876625	0.044	39.05622482299805	0.0846023708581924	0.044	38.362918853759766	0.0837520956993103
0.045	42.93598175048828	0.0856898054480552	0.045	42.84141159057617	0.0853606462478637	0.045	42.79427719116211	0.0852878466248512	0.045	42.51366424560547	0.0851426124572753	0.045	41.91810607910156	0.0850340127944946	0.045	40.31087875366211	0.0849617645144462	0.045	39.37247085571289	0.0848536267876625	0.045	39.05622482299805	0.0846023708581924	0.045	38.362918853759766	0.0837520956993103
0.046	43.156734466552734	0.0856898054480552	0.046	43.06167221069336	0.0853606462478637	0.046	43.01430130004883	0.0852878466248512	0.046	42.73224258422852	0.0851426124572753	0.046	42.13362121582031	0.0850340127944946	0.046	40.51813507080078	0.0849617645144462	0.046	39.57490158081055	0.0848536267876625	0.046	39.25703048706055	0.0846023708581924	0.046	38.560157775878906	0.0837520956993103
0.047	43.26710510253906	0.0856898054480552	0.047	43.17180633544922	0.0853606462478637	0.047	43.12431335449219	0.0852878466248512	0.047	42.841529846191406	0.0851426124572753	0.047	42.24137878417969	0.0850340127944946	0.047	40.62176132202149	0.0849617645144462	0.047	39.67611312866211	0.0848536267876625	0.047	39.35742950439453	0.0846023708581924	0.047	38.65877532958984	0.0837520956993103
0.048	43.598236083984375	0.0856898054480552	0.048	43.502201080322266	0.0853606462478637	0.048	43.454345703125	0.0852878466248512	0.048	43.16939926147461	0.0851426124572753	0.048	42.56465530395508	0.0850340127944946	0.048	40.93264389038086	0.0849617645144462	0.048	39.97975540161133	0.0848536267876625	0.048	39.658634185791016	0.0846023708581924	0.048	38.95463562011719	0.0837520956993103
0.049	43.598236083984375	0.0856898054480552	0.049	43.502201080322266	0.0853606462478637	0.049	43.454345703125	0.0852878466248512	0.049	43.16939926147461	0.0851426124572753	0.049	42.56465530395508	0.0850340127944946	0.049	40.93264389038086	0.0849617645144462	0.049	39.97975540161133	0.0848536267876625	0.049	39.658634185791016	0.0846023708581924	0.049	38.95463562011719	0.0837520956993103
0.05	44.03973388671875	0.0856898054480552	0.05	43.94272994995117	0.0853606462478637	0.05	43.89439010620117	0.0852878466248512	0.05	43.60655975341797	0.0851426124572753	0.05	42.99568939208984	0.0850340127944946	0.05	41.34714889526367	0.0849617645144462	0.05	40.384613037109375	0.0848536267876625	0.05	40.06024169921875	0.0846023708581924	0.05	39.34911346435547	0.0837520956993103
0.051	44.15011215209961	0.0856898054480552	0.051	44.05286407470703	0.0853606462478637	0.051	44.00440216064453	0.0852878466248512	0.051	43.71584701538086	0.0851426124572753	0.051	43.10344696044922	0.0850340127944946	0.051	41.45077896118164	0.0849617645144462	0.051	40.4858283996582	0.0848536267876625	0.051	40.16064453125	0.0846023708581924	0.051	39.447731018066406	0.0837520956993103
0.052	44.3708610534668	0.1285347044467926	0.052	44.27312850952149	0.1280409693717956	0.052	44.224422454833984	0.1279317587614059	0.052	43.93442535400391	0.127713918685913	0.052	43.318965911865234	0.1275510191917419	0.052	41.65803146362305	0.1274426430463791	0.052	40.68825912475586	0.127280443906784	0.052	40.361446380615234	0.126903548836708	0.052	39.64496994018555	0.1256281435489654
0.053	44.48123550415039	0.1285347044467926	0.053	44.38325881958008	0.1280409693717956	0.053	44.33443069458008	0.1279317587614059	0.053	44.04371643066406	0.127713918685913	0.053	43.42672348022461	0.1275510191917419	0.053	41.76165771484375	0.1274426430463791	0.053	40.78947448730469	0.127280443906784	0.053	40.46184539794922	0.126903548836708	0.053	39.74359130859375	0.1256281435489654
0.054	44.48123550415039	0.1713796108961105	0.054	44.38325881958008	0.1707212924957275	0.054	44.33443069458008	0.1705756932497024	0.054	44.04371643066406	0.1702852249145507	0.054	43.534481048583984	0.1700680255889892	0.054	41.86528778076172	0.1699235290288925	0.054	40.89068603515625	0.169707253575325	0.054	40.56224822998047	0.1692047417163849	0.054	39.84220886230469	0.1675041913986206
0.055	44.70198822021485	0.2142245173454284	0.055	44.60352325439453	0.2134016305208206	0.055	44.5544548034668	0.2132196277379989	0.055	44.26229476928711	0.2128565460443496	0.055	43.75	0.2125850468873977	0.055	42.07253646850586	0.2124044150114059	0.055	41.09311676025391	0.2121340781450271	0.055	40.76305389404297	0.2115059196949005	0.055	40.138065338134766	0.2093802392482757
0.056	45.033111572265625	0.2142245173454284	0.056	44.93392181396485	0.2134016305208206	0.056	44.88448715209961	0.2132196277379989	0.056	44.59016418457031	0.2128565460443496	0.056	44.07327651977539	0.2125850468873977	0.056	42.383419036865234	0.2124044150114059	0.056	41.396759033203125	0.2121340781450271	0.056	41.06425476074219	0.2115059196949005	0.056	40.43392562866211	0.2093802392482757
