confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.028	42.08092498779297	0.0856898054480552	0.028	42.08092498779297	0.0853970944881439	0.028	41.98385238647461	0.085324227809906	0.028	41.83908081054688	0.0851788744330406	0.028	41.88722610473633	0.0851426124572753	0.028	41.74312210083008	0.0850701853632927	0.028	41.45785903930664	0.0849978774785995	0.028	41.12994384765625	0.084889642894268	0.028	40.4444465637207	0.0841042920947074
0.029	42.196533203125	0.0856898054480552	0.029	42.196533203125	0.0853970944881439	0.029	42.09919357299805	0.085324227809906	0.029	41.95402145385742	0.0851788744330406	0.029	42.00230407714844	0.0851426124572753	0.029	41.85779571533203	0.0850701853632927	0.029	41.571754455566406	0.0849978774785995	0.029	41.24293899536133	0.084889642894268	0.029	40.5555534362793	0.0841042920947074
0.03	42.312137603759766	0.0856898054480552	0.03	42.312137603759766	0.0853970944881439	0.03	42.21453475952149	0.085324227809906	0.03	42.068965911865234	0.0851788744330406	0.03	42.117374420166016	0.0851426124572753	0.03	41.97247695922852	0.0850701853632927	0.03	41.68564987182617	0.0849978774785995	0.03	41.35593032836914	0.084889642894268	0.03	40.66666793823242	0.0841042920947074
0.031	42.54335021972656	0.0856898054480552	0.031	42.54335021972656	0.0853970944881439	0.031	42.44521331787109	0.085324227809906	0.031	42.2988510131836	0.0851788744330406	0.031	42.34752655029297	0.0851426124572753	0.031	42.20183563232422	0.0850701853632927	0.031	41.9134407043457	0.0849978774785995	0.031	41.5819206237793	0.084889642894268	0.031	40.88888931274414	0.0841042920947074
0.032	42.65896224975586	0.0856898054480552	0.032	42.65896224975586	0.0853970944881439	0.032	42.56055450439453	0.085324227809906	0.032	42.41379165649414	0.0851788744330406	0.032	42.46260070800781	0.0851426124572753	0.032	42.31651306152344	0.0850701853632927	0.032	42.0273323059082	0.0849978774785995	0.032	41.694915771484375	0.084889642894268	0.032	41.0	0.0841042920947074
0.033	42.890174865722656	0.0856898054480552	0.033	42.890174865722656	0.0853970944881439	0.033	42.791236877441406	0.085324227809906	0.033	42.6436767578125	0.0851788744330406	0.033	42.6927490234375	0.0851426124572753	0.033	42.54587173461914	0.0850701853632927	0.033	42.25512313842773	0.0849978774785995	0.033	41.92090225219727	0.084889642894268	0.033	41.22222518920898	0.0841042920947074
0.034	43.23699569702149	0.0856898054480552	0.034	43.23699569702149	0.0853970944881439	0.034	43.13725662231445	0.085324227809906	0.034	42.98850631713867	0.0851788744330406	0.034	43.0379753112793	0.0851426124572753	0.034	42.88990783691406	0.0850701853632927	0.034	42.59680938720703	0.0849978774785995	0.034	42.2598876953125	0.084889642894268	0.034	41.55555725097656	0.0841042920947074
0.035	43.58381652832031	0.0856898054480552	0.035	43.58381652832031	0.0853970944881439	0.035	43.4832763671875	0.085324227809906	0.035	43.33333206176758	0.0851788744330406	0.035	43.38319778442383	0.0851426124572753	0.035	43.23394775390625	0.0850701853632927	0.035	42.9384994506836	0.0849978774785995	0.035	42.59886932373047	0.084889642894268	0.035	41.88888931274414	0.0841042920947074
0.036	43.69942092895508	0.0856898054480552	0.036	43.69942092895508	0.0853970944881439	0.036	43.59861755371094	0.085324227809906	0.036	43.44827651977539	0.0851788744330406	0.036	43.49827575683594	0.0851426124572753	0.036	43.34862518310547	0.0850701853632927	0.036	43.05239486694336	0.0849978774785995	0.036	42.71186447143555	0.084889642894268	0.036	42.0	0.0841042920947074
0.037	44.16184997558594	0.0856898054480552	0.037	44.16184997558594	0.0853970944881439	0.037	44.05997848510742	0.085324227809906	0.037	43.90804290771485	0.0851788744330406	0.037	43.95857620239258	0.0851426124572753	0.037	43.80733871459961	0.0850701853632927	0.037	43.50797271728516	0.0849978774785995	0.037	43.163841247558594	0.084889642894268	0.037	42.44444274902344	0.0841042920947074
